unit,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
Andalucia,1.68873183014256,1.75849753289657,1.8276206972393998,1.85275629430933,1.87803484718652,2.0101399600114296,2.12917747377702,2.28034844571473,2.43101972608831,2.50885458681727,2.5846900275284104,2.69444434855945,2.8023422053799396,2.98736079765435,3.17909177525729,3.35432726531259,3.52292206586344,3.75621265018031,3.98771781234937,4.05184220872719,4.11218219878026,4.22179356400403,4.3316908408423505,4.3051986890464295,4.226935178816101,4.21151120606166,4.20701245654143,4.24907153689906,4.29163096258212,4.3586833379637095,4.42659257650716,4.66323891764741,4.90067107988677,5.15959717075813,5.41773787637126,5.585261162128901,5.74921447527269,5.64124535846901,5.53491849008542,5.638817288949809,5.72072268553851,5.9959296123261705,6.300985537335321
Aragon,2.28877455736698,2.44515862202038,2.60339893296391,2.63903175752798,2.67709221577038,2.8814623608517005,3.0995429702841606,3.3591831864305495,3.61418169724945,3.68009129785463,3.7452869911052202,3.88331910400042,4.01613812417992,4.24364488215421,4.47622090535517,4.5962580201694605,4.72372186350775,5.00128538191097,5.28349060564169,5.44237378187705,5.600971046497881,5.73657508987388,5.86639552482773,5.925021352716191,5.95279923509578,5.9747215953087105,6.011139587210571,6.1336047715440705,6.26085418117145,6.372893615914429,6.495501320214309,6.92652092426717,7.358611825192799,7.80277028828817,8.242645307255959,8.45829762924879,8.6682378207231,8.46686626086743,8.25692694107487,8.57397851450925,8.84675824345946,9.09668683529036,9.51870894030277
Baleares,3.1439588601777797,3.34775783579134,3.5496286513702597,3.64267348698363,3.7348616773555805,4.0588405056702594,4.36025410848017,4.646172696472879,4.91152526105822,5.05069971288895,5.184661507844861,5.466795253671941,5.73764638674664,6.16145369598642,6.58169103261233,6.8870324333951505,7.16866626973767,7.5706937387309,7.95629785184144,7.97272207940588,7.9741498941150795,8.03484683784544,8.080548240402301,8.041987654754891,8.00485575549843,8.25978257049325,8.53113361305252,8.7225078548986,8.92530722946346,9.275921165381321,9.652241867836869,10.2577834904313,10.8233358409874,11.1203945217661,11.408168920208098,11.5124246727498,11.679519962767301,11.3196226161945,10.9697225876312,11.4195940529268,11.7737792689812,11.9265920534981,12.3500428449015
Basque,3.8531846300052703,3.9456582961508797,4.03356173487263,4.02342189689665,4.01378196840523,4.28591839622273,4.57433609579741,4.8989573535630395,5.197014981629129,5.33890297875272,5.4651530052518495,5.54591562706414,5.6148957266394905,5.85218493307158,6.08140541736959,6.170094241349571,6.28363340454625,6.55555539865284,6.810768561103081,7.1051843028108,7.377891682175631,7.232933621922751,7.0898313721191295,6.786703607144611,6.639817386857099,6.56283917136956,6.50078545499277,6.545058606999559,6.59532980113941,6.76149675009149,6.937160671727719,7.33219115130052,7.742788123594151,8.120536640758889,8.50971116232416,8.776777889074099,9.02527866619582,8.87389282470633,8.71822353908928,9.018137849286369,9.440873861653369,9.686518137674948,10.1706658728087
Canarias,1.9143815791051901,2.07183672271092,2.22607819361879,2.22086553674397,2.2134390261404104,2.3576836148795697,2.4457297914881497,2.64824325443846,2.84475867525573,2.95115680362251,3.05419873932504,3.2317908209959,3.40338464261327,3.66031153138724,3.91288219060737,4.22493554087783,4.49357347398511,4.781919259815281,5.054912986635519,4.967794933172,4.88153374287034,4.94844316244466,5.0079262893358605,5.0409168285902695,5.23350488727551,5.43708921125772,5.65824053758078,5.68730371470317,5.71986582237664,5.80134235154353,5.88560390390692,6.25678386323216,6.612681933928481,6.97700655211792,7.33790328181903,7.34504409872849,7.34718669247403,7.22007980281304,7.09218796373469,7.410740137304519,7.61639514128776,7.817051922107081,8.06055447606487
Cantabria,2.5594116925716497,2.6938731790916903,2.8203369855404,2.8790345092529397,2.9437302930189597,3.1370322590588,3.32762067980577,3.55534143565008,3.7714226250647096,3.83940290567092,3.90609832737521,4.03213348432256,4.15595544130248,4.37589251494551,4.61082556560291,4.7914166683402994,4.96965161530299,5.1553843328524405,5.33876045878633,5.50835486038587,5.6752357166925504,5.796058216765079,5.902956472536861,5.91659524106394,5.906455403087961,5.8991001524676,5.91488151474021,5.916880716837599,5.941659578150659,6.02884910951782,6.13831751893432,6.42045126476141,6.71322475804904,7.023421862029379,7.33361896600971,7.45072853766112,7.5964013769503405,7.46215367037989,7.3279059638094495,7.550699974393481,7.77706352175048,7.9077408198662,8.22693498704611
Castilla,1.72914877104031,1.8383319226035901,1.9476578120537,1.97136537649399,1.99514420091748,2.13881740226844,2.23950296427583,2.45422738104403,2.67223651257286,2.77777777777778,2.88217648612673,2.98807492292939,3.0945443112793702,3.30227086694538,3.5209939058288,3.67052284726685,3.8218367750118305,4.081762249011439,4.34540152311393,4.4647242947327594,4.581119523188691,4.732719362548201,4.8846757197441395,4.94680091402457,4.920379804291411,4.89374469668822,4.88103383338577,4.92309334958427,4.970722476334889,5.113467772461219,5.26199667700969,5.6473148785057,6.04463003594955,6.35439870834895,6.67402174295067,6.87032273005704,7.06319626451594,7.04548717804958,7.027635135775941,7.07426444355742,7.282919340288941,7.61139691812384,7.88846009120162
Castilla-La,1.32776351357759,1.41509567387136,1.5035703910210902,1.5314196423441002,1.5593401536503,1.66752359520466,1.75242790389967,1.9204513170623099,2.09190240079285,2.18259064479066,2.27470713933854,2.3783919403329,2.4823622171009196,2.7090831539761,2.94744365728096,3.1368895211719603,3.31962299973445,3.6291774563433905,3.94608672773181,4.0281346442869,4.11196820091023,4.26071110332874,4.412167986880981,4.44630086507092,4.4087405342335195,4.32876329767946,4.26128249071694,4.34318745146476,4.42466441647253,4.55005714396891,4.67766350727359,4.98064831644084,5.2955586036522995,5.67787778408178,6.0653385793233205,6.2794201307996795,6.47450730106688,6.330691143908661,6.188589148915041,6.230934140887199,6.3287634197149005,6.61439609609308,6.86539554895588
Cataluna,3.54662963030373,3.6904455695415197,3.82683499817574,3.8756783776063997,3.9217367338405498,4.24178820002321,4.57533547892566,4.83804641196265,5.0813340963686695,5.15809787814531,5.22365052507319,5.33247650503874,5.429448920704581,5.6743788535306905,5.91552394419117,6.06683787193614,6.22764920820614,6.539060129025639,6.837975056094461,6.98736082380481,7.124893027215441,7.1353898188687195,7.142959067359099,7.01935154409008,7.01099691034147,7.078834670981281,7.182233560361099,7.28720365609826,7.397886318194799,7.4842900284628495,7.5699798313763,8.07769173930216,8.58397583251883,9.057412342288359,9.52584975721223,9.785061759698118,10.0506998000571,9.83790310748268,9.625107286589989,10.006427083891198,10.33990288489,10.576263750256599,11.0454159442168
Comunidad,2.57597822218206,2.73850328477578,2.89988579051354,2.96351049532723,3.02620685907542,3.21929439140435,3.3624679011911804,3.5699800231462904,3.76521014922076,3.8236930213019504,3.8741786491527,3.97814892592072,4.0734076152628305,4.27977739828241,4.48628970126839,4.65474132809153,4.817123870718861,5.13888906322524,5.449371642979241,5.55798362507476,5.655955423868849,5.7613539511869405,5.86103991214564,5.81091123797219,5.77549262919858,5.790988079856651,5.8996715398558,6.0181378841536395,6.139817247388019,6.23686070511662,6.336118234494389,6.73936039200853,7.14438731790917,7.560697292403059,7.9691516709511605,8.138388683032531,8.30619788040471,8.080548240402301,7.8570411941454195,8.06840920032892,8.28906061716742,8.429734361610969,8.72536435599873
Extremadura,1.24343048331057,1.3325478478317,1.4224507065712801,1.4402313799015,1.4580834221751398,1.5358469139606898,1.5962581639969502,1.7055841624072798,1.8176949660936699,1.8828192904008503,1.9488718468133,2.0326334896921203,2.11760916733054,2.24550122432932,2.3819623487876203,2.51849473322912,2.65402751662192,2.8464009236758194,3.04562988978595,3.10304190083525,3.1567409834634304,3.2625679423624505,3.36539566227451,3.48707502550889,3.51585250893718,3.5395600733774706,3.57276482842235,3.61096824247202,3.64895744073122,3.73714635522663,3.82847768243671,4.161739485565509,4.49857169714903,4.76949430812737,5.05141405608442,5.234075838822839,5.39831462774029,5.36546704429315,5.33261946084601,5.439874234454219,5.501356563442809,5.905812537796121,6.22457870923598
Galicia,1.63467579383708,1.72557836258558,1.8164810402942901,1.84090251208918,1.86539567970814,1.9832904186973401,2.00578416629847,2.18566114376082,2.3663954202259196,2.45879739054746,2.5497000682561697,2.66966570516683,2.7878463557705597,2.9783632986139,3.1773778310131298,3.3619679917066096,3.53477584808358,3.78320471146079,4.0299913264179,4.1323908326694605,4.23100549675539,4.359040291641,4.48564683597655,4.5217078742011205,4.5574834366520305,4.5816909105768895,4.61875176777059,4.710797002335269,4.80634116745104,4.89931430724034,4.99778645135988,5.2779205592487,5.56576687143517,5.90952590205812,6.254498749520231,6.453227806145789,6.641602591084469,6.5444872196113595,6.447514803945531,6.556483739718339,6.68866033044688,6.86246800579299,7.13853179574251
Madrid,4.594472815942099,4.78663244304641,4.96343913945904,4.90616964837613,4.84640104571127,5.16109689921183,5.632604813105849,5.84083127825644,6.024492879963981,6.09932893754686,6.15202820120591,6.11046859449198,6.057340899252,6.2531419768738,6.43558976174218,6.543344880675829,6.67473565030527,7.08690382895624,7.47500748948961,7.655669634289759,7.816338014752481,7.70708403904688,7.59997178540506,7.3900315939307495,7.32147992593634,7.4171661751776305,7.5321340247652495,7.542845250129429,7.558554698657531,7.699228443101081,7.83918915187179,8.347614967152241,8.84961474455959,9.25449871465296,9.65795487003713,9.80648421042649,9.96358218243448,9.84004570122822,9.718651813767499,9.88217669533035,10.098542924677801,10.322764749971,10.73264781491
Murcia,1.67952011531164,1.76428168611981,1.85032844271056,1.8873892999042698,1.9240932034206701,2.11860898629967,2.30548404278465,2.5214224943124504,2.73907445424354,2.85125684479379,2.96593834692599,3.0991860166068603,3.2272922893961096,3.4611540431807404,3.7061554539104904,3.90638380314888,4.08647543224257,4.37946292340023,4.666952281909411,4.69780066325916,4.72272204453861,4.784347329334481,4.84454436358027,4.8646100416622,4.836403727701679,4.763210354379781,4.70808345704241,4.81112539274493,4.90688355573073,5.03199080745345,5.15459851175334,5.4715080010622,5.78856044617832,6.12489274827728,6.45044278294929,6.578192102061241,6.71036825694891,6.66288208600556,6.616323820286841,6.7848473608544895,6.88581818071511,7.0454157001459405,7.295058380362309
Navarra,2.55512715884189,2.6981577128214504,2.83983149415457,2.88189079243263,2.93087690975012,3.1635246287751504,3.3359040535711904,3.6233934120803704,3.89481571462283,3.98514722286378,4.07297918368189,4.21001147760796,4.35239938421612,4.55698352716746,4.765709901802611,4.9794344996016795,5.19965704901836,5.466795253671941,5.73050556983719,5.98478995538105,6.22293646081588,6.29777208255789,6.3844617044404695,6.32419319229104,6.23964572831312,6.208440393286071,6.177877923550861,6.36203943474298,6.54470165332227,6.79720083463876,7.0477718559206295,7.44929985127017,7.879177552228381,8.34975756089778,8.80391334200273,9.19737217937732,9.59154492410651,9.34518674073033,9.117395378664131,9.36589528410409,9.758640214124089,10.060697118066699,10.522707623435698
Principado,2.50292780466742,2.61553840887816,2.72579263939377,2.7518565775291903,2.77742082410048,2.96729511957242,3.1438873822741495,3.37353608023266,3.59725799604131,3.67259352726788,3.74335883107059,3.9093828242154,4.07312213948916,4.30862614169389,4.5497001902916105,4.631605151039441,4.69965734539016,5.02256487683207,5.34561536408124,5.50249933821921,5.65195658383319,5.59225945907196,5.53870333225105,5.61461025086582,5.704298893814941,5.79698655783058,5.935661100176739,5.84975729939325,5.769066155484589,5.887318066071519,6.01128254301784,6.23479002511559,6.4652958041564,6.68816042096231,6.913524585191059,6.98314755005824,7.0406310390111795,6.92280756000518,6.79834317357429,6.95415585083949,7.11646691556319,7.21722373755378,7.475721396844209
Rioja,2.39045993834351,2.5352042186467902,2.6800199768537096,2.72643528676517,2.77285059667662,2.96986570905801,3.1531705750087005,3.4043844615824104,3.66923755252406,3.8039847327381895,3.9218082117441897,4.03270487171076,4.16031123501544,4.37303644968625,4.60354179288618,4.7934163062785595,4.9833618617337,5.23007699878718,5.47464997793599,5.5758356673483895,5.67609257985442,5.81655232642794,5.9557982561623,6.06655239616248,6.10104266387059,6.10868339026461,6.13996020319529,6.30976860266486,6.502142227639201,6.62689252568463,6.7755639501995,7.16509586128294,7.58069105674049,8.002713161752888,8.45329940608487,8.85889728353283,9.229505855469869,9.18094795181288,9.13239091983764,9.498000396929,9.75221330456923,10.0564128022574,10.4762923135243
